USCADI,Organization,Category,Currency,Amount,Start (yyyyMMdd),End (yyyyMMdd),Document Hash
AJ3CDYRD5V475OU4BF6DM45W2AJRETHJDQ2CM6NC5PIGTVC6A3SA====,ORG1,CASH-MPA,USD,90376,20240401,20240701,
PTK45VZ7ECYKC4NR3F3ICSPUHZU75HD6YR4FJF6MFNNFHA3UFHDA====,ORG1,CASH-MPA,USD,19336,20240401,20240701,HPHKYJJR333A45HCCXVTLMWZQ7KDLV2WDDXIVEMEGSRZOUXN2JWA====
AQPRPSIWDCBFXW5BGQ4W2TLSJ6QCPPBF4UKUTEF6OPWFDSF6E67A====,ORG1,CASH-MPA,USD,64040,20240401,20240701,TKIW7ONAG6VX6HACSOJS2D5XARYD2NDATHRM6CPC4MCAT6CYSWPQ====
7US6SPH6Y2C2DKEZNQPCLWQ3VQU5RTR4QKCEYR7WZ4HURFFSSJOA====,ORG1,CASH-MPA,USD,35484,20240401,20240701,SKQIRGJ4Q7YOXGV25ZSGZVQM7XPVR4CRZRZS5FKFC5KUYCJVTEDQ====
E4KPBV7V2KWJ77R5LQFG2B3QRFBGLMZNLR2UEFAPC4AJONO5DJNA====,ORG1,CASH-MPA,USD,44720,20240401,20240701,QVPMA4USHLJLDW7GFF5YWGWKSG6ROWPAM3T4N4W6CZ4EOSGK2FCQ====
NEE6YNWAWDI2OJDZ55DA2G3EMJFT75MHSFEZG5VQTZ5GPSAWWBRQ====,ORG1,CASH-MPA,USD,40976,20240401,20240701,F3ZUVN36IQHQBBVWIK7ZOIUGVJLW7ZNSPEUOFQB2UYEON4SC7GTA====
QTARGVU7JZEPNXEUQFIDIUZBWA5GSWHRP6DOHUTPJU7IQSRG5NWA====,ORG1,CASH-MPA,USD,22544,20240401,20240701,3HO3SYUGPCOTFWHCM555PRJV752KHRN4QJS3D3XQGR37WPS5PSGA====
MT4EFTWMIYUWBSO64L4YVJIJFXGX5UIKHJ3HDHDZAECD7B5SVJWQ====,ORG1,CASH-MPA,USD,35040,20240401,20240701,FF4NHMEJDIJMZYSNGCLJUQHNOXAYN43MJ2ZLSHWVUGYOEXFRQH2A====
U4HDGFKTOIHGHM62B2T6EYBXII44ZFCSVQJJXIWQR2BJC63JGN4Q====,ORG1,CASH-MPA,USD,52865,20240401,20240701,G3Z6M7DXIQGUUJXI47XEBWRP2ANUPZOOD52QEIAOWDCJOQPSMI6A====
7E4QKEHFLXUGESG3XW6ATO7AVLTJQ4CN6IR5QI5PI6WJITNWTXPQ====,ORG1,CASH-MPA,USD,87750,20240401,20240701,IH2YFVHT7NVH2WCF44BY442U4RTXR2GNKJXOXV4QQ2QHXA7S65NQ====
E7DNOBOQUPOB2O6FBOIIBNZDL7XL2KRJEIRVQH2L7AVY3HX5GFEQ====,ORG1,CASH-MPA,USD,76663,20240401,20240701,
TCXLMRZ5MN5JPDNK3XJWQB75AEJMYOMI3JTHMVKSG3UAMEI5254A====,ORG1,CASH-MPA,USD,30848,20240401,20240701,ZNXGRA722F2NAEG2DP3S43NDOWOVOA3BVD3XFHEWFOIBMTYXH2DA====
6S45MBLV3WACULIR3FTOHGMB2W2VOOCZKUQAAKQKCAZ2IJUWK5CA====,ORG1,CASH-MPA,USD,29882,20240401,20240701,6JR3XYRFUFXUV6GNKGFLTH2M3C3FJSC4H7K2YUH6BXWMAN5ZEIJQ====
GJXTQY3JIIFYDU57IAITHZTC4RJ5DGQWDN24MEFEHW4CIXUUPZGA====,ORG1,CASH-MPA,USD,76651,20240401,20240701,BWQMOWUBL6S3PSNHBA5PCJP5L3ZF4O7TZPSGQLWUOQI2B4BNPAYQ====
VJHIPEOXWGNYPVSKNCRGNI3MUJASWNIMQK57HQ2RLRUT24AQYOFQ====,ORG1,CASH-MPA,USD,46410,20240401,20240701,JFLII6AOE5ACO3ZZZ3U5MMWQF6K7UPYVTWUK6U6RK4LGNU4C74BQ====
NUICKQZQUJQ64DAISPVQXAIBMAR4R2M2L5NFMPO2AJO62GXM7FUQ====,ORG1,CASH-MPA,USD,20041,20240401,20240701,
6SQRHCTAHZUNOIR3QGR5VTLC54XO3I4QRN37YPUKHGBXS2OGUBZQ====,ORG1,CASH-MPA,USD,13005,20240401,20240701,HDIXMF57A34FA4UO2I6CHBW3KQ6HLRHGDLDF6BNLWGK5AP6PQCDQ====
K5UPKM4OKHH2VYILRQPHEC3N2EYBH5N4SND3Y22HRCBYL5J2D66Q====,ORG1,CASH-MPA,USD,66393,20240401,20240701,QJ5NQPWYBP746OZXY7HYBYQR4WTHSN3ND6J2JINBOOH53W2WL2JA====
JN4CTN6FYP3E7OJYHJVBKZY2CLSXF2BPDYA5NZLLO7RIQ7UZIMPQ====,ORG1,CASH-MPA,USD,36004,20240401,20240701,3QQDWCA6DPEJPM3HMXQERM6TDWFZ3KHXSEEIM2SCFJXGJCXC7IUA====
4TPGNEYWU34WOJTSV23VK2AGL4ZPMZUYLFSMSTN4FXVNMOBOHSZQ====,ORG1,CASH-MPA,USD,66110,20240401,20240701,
LRL6NAWQCCIKNOTXQAW5OWT6TVV5ZBUQX533CYZ2W5QYENPABAUQ====,ORG1,CASH-MPA,USD,5903,20240401,20240701,
HGZLXYMRTEZNNEFVLHEIKMXJYJ55RSVZMJ46V3G4FNSSPHYWEFWA====,ORG1,CASH-MPA,USD,69868,20240401,20240701,4KRRQZ3LTWVMXNAGIJOTIAKRAX2RFX37ZGPBVLQX4Z7D4CVERFGA====
G6ETKRGAQL3JCPKNBDMWIJZOJIK3JAES6C4NI534IQBDA3MGWFLQ====,ORG1,CASH-MPA,USD,24950,20240401,20240701,
7Z4UES47UCRBTEDQB57KMDTD5ZN3QD7J3FVVAEJ6HXPSZP72KUEQ====,ORG1,CASH-MPA,USD,52149,20240401,20240701,VQRMUIGFCVCQSAHYVALL3KQYBQR6J7VFV4GPYBQKMJLPHBSH6MAQ====
3OZNSZEF6BD3R6W3F7UT7MLYGZVHYN3DIQVHSUA7QJDJSVJKLTAQ====,ORG1,CASH-MPA,USD,99249,20240401,20240701,Q5RD2JRZWPUURC3DYZMERDC5SHSLNQRT7UE42DCOY2FWI2AUV5UA====
3JPZG2QS2AJMPKXHJ5WFC7EK44OU6ISMJ2WDZSVJEG4CVLLWF3SA====,ORG1,CASH-MPA,USD,47285,20240401,20240701,7CKG3PF44S7B77EWQMCIXKBFNXU2GTP7JQ3Q2HLYDSBW7HWWNUGQ====
37KDYXNO7IB2PO5I3IB5VLXKG3R3UKLJTURZGW4WR6BIRD6DPDYQ====,ORG1,CASH-MPA,USD,96840,20240401,20240701,TJ75NDRVJGVVBXRQMCEXSZ2OFCNF2H3CIIC6QLD7SRSTW3ACQOLQ====
VDTWB6ZFNHEZ7RKJNSK2WHTX55ROINB5Y4Z4JQ75SCUR5HDPYMTQ====,ORG1,CASH-MPA,USD,67754,20240401,20240701,S3Q2KSEHTELE4FCODA3J7W3WMIQYNSECCFAEDOLUUGA3FEW4OCTQ====
SBUCMQILAM4E2RE4D4SPCWC5HOCOIOEDKXZ2XO32IPEF73ULV75Q====,ORG1,CASH-MPA,USD,29916,20240401,20240701,RVKUFCNDXAADTAF5YJKKWCRUVMBTAJMVBA44VYHN5UUD3HEKZXYA====
I2RFXRV7XYGMCTPVBZ7TSWC2GSUA76PK57IBVENHKLH3ARHS2DZA====,ORG1,CASH-MPA,USD,48110,20240401,20240701,B55PQQV5A2VWX2JNLVQ5TTZWK4EMBU2FEFZW2TWLNZEOAJ65N4EQ====
6YSJOHMLPKYS4RWE4YEK67MKAEHDYETJG6VXH6OUW7JTXH5APJAQ====,ORG1,CASH-MPA,USD,4351,20240401,20240701,YPY6COG4GW23O7HMHQTNTCJ7JUMFTCQ7IOPXX2JPLRDPCBCNPXCQ====
WNL7EF7N4HQINKX2ZY6P2MSBECFH2KQLR3RZ4W743JMZOWGCANFA====,ORG1,CASH-MPA,USD,42077,20240401,20240701,
UWO3FC7HTKWCLT5U667H7SZ5BURN76VRW4WCMYKUAHVXPDENW3RA====,ORG1,CASH-MPA,USD,82359,20240401,20240701,UEPFTLGUMFPYIEPYWFMLFJHI4ZXWDGTKNPUCSKLBKFIL3ND6CIOQ====
T7A4XQIOVDSLITDYJP3Q6KK5NJGBZAQDCRES44DLYKT3QMBVCQ5A====,ORG1,CASH-MPA,USD,20261,20240401,20240701,YVGRR34EJBDNPKOAH4UKWCSPMICRVAHEXWTMRRKIXCBCAXXMV5KQ====
TGWQ2WTJX5WX6G7OIIWOS3MDE4VMT4ZA76O2QUASGU3MEVALCDLQ====,ORG1,CASH-MPA,USD,48467,20240401,20240701,VU7QSSXCUHI7RCB34WTMREEAWDOLATOST2PRWRRISQB3W2PCW3ZA====
XFVUDMGJPJUNIFZQTUQJWCBN7A3QS3KIK4TCG463A3B6JGRC7Y6A====,ORG1,CASH-MPA,USD,82915,20240401,20240701,2BIBE3XKFF6AFTM2EL2Y6XP4BIKZLFU4WECINQSYILI5IVJ6LA2Q====
BQKCXUOWGDLR7AGLNAB3YPAY7EJYQYVCUMGV67QGIDT7FKZSEAPA====,ORG1,CASH-MPA,USD,33095,20240401,20240701,AAOX42N2HB6BSBAPB5YG3M2CYL72UXZJOTHASVKADLI7SAHZIIAQ====
RYQS4CYVJYU3MHZCG7ZYFLH7F7FSMRRW4ZOT22R2FARTUQFPZTWA====,ORG1,CASH-MPA,USD,42687,20240401,20240701,CGUW3VDLQAPWJCJAHVWPC5QFBH2IPTOBW55T5HUD5EXHAY334VVA====
XS5OLA3OAYHKN5PYSQ7FWGRP3Q33SJMZDY4UGJV6RWIN6PFWYA5Q====,ORG1,CASH-MPA,USD,80591,20240401,20240701,
P34XA4SFIR2CMKSEK25ESPN7EP6SZ3BPMKSWFTKCQILNWJE4OZQA====,ORG1,CASH-MPA,USD,64417,20240401,20240701,HXWIBZOZYNR45EIQPAG3AZF7OT7DIRNILLZLJMRRI22HAZCAR7VQ====
T3TP45WM3IGUPGZLOG2WV2RFTUA5MHRGDSALVW3DV3JCKOS265OA====,ORG1,CASH-MPA,USD,64825,20240401,20240701,YLZOXST3JRI7NT6CXZOYFKSEMT7V3B2PQYCSLDZL4WEKYE6THM4Q====
5MP2R4XPDRMKK6YQM4DEQBFTC7G7NXVHZZ56LHHUEXJWPTSKMSAA====,ORG1,CASH-MPA,USD,27290,20240401,20240701,HYDREWOFBMHRUKYN6J7SNF7RELOAJVZDZBPRNMM4LJFEQAZIBVWA====
VCCUQ7BZPD72OHODM67ZJABP425KBCMQ7YSASGTDOW4WLHEOUFMQ====,ORG1,CASH-MPA,USD,87199,20240401,20240701,DZLCCUXKXFEJIKJYYJLUDIU5MZ2WJDWG26X6VCXVANNTIC7DQ7BA====
OGIQOBSZGKYFSRTCZIL5DAL4ICMUJTICOIDWQJAE2PRPMVJRDEPQ====,ORG1,CASH-MPA,USD,87187,20240401,20240701,
IM6ZEXQROTPUDWQADRIQ5V4XGR4FMSYD2VHLAICCHRL4TDUBDRDQ====,ORG1,CASH-MPA,USD,58134,20240401,20240701,6JFECXL2FIWQHK76EJVJYCN6ACQGSXWYZILP2XGVILXYZ2NBAJYA====
RNMZHSHGVCAMDHTLU7GBI2A25PFEGOVJ3YRVY7YCQC76GYOOVRJA====,ORG1,CASH-MPA,USD,9464,20240401,20240701,UYVMD5QTD4XXYF3IJOR4OXIIHCVPL5BGYVDEJ3ZFYGLYOK7E4FKQ====
KRO5GD5WUOSYO326L4GKKN7EOCBTRV4WL2TRKL5AOVO5OKOZQV7A====,ORG1,CASH-MPA,USD,58587,20240401,20240701,42FIWBNMVHKXTP3W6Y474C3JXE45ZA4YT3JDFNAYYF44ZYCMCMXQ====
JWZYD6Z7VX2WI3SXX6CBH7OC6F3NSIWXK5KKMLC3JD2JX7J5H22A====,ORG1,CASH-MPA,USD,55587,20240401,20240701,62C7S7TGPWEPGJZLA2DMISIGZP5QHNV5WA6O3OTHEWHCCLR33G3Q====
ACPRP26PFFVTK2I6CRJ2FPKO7QZDTEYCO7SFQAOTVJW67MYF5HHA====,ORG1,CASH-MPA,USD,16470,20240401,20240701,3PJZ6MSKRY5Q6AQF7QSF2X5T3PFKXUGMF5F3OX2TJ32LIDNG4TPQ====
3S5E56NVVPNK5R2NENBOWUAZIIUO2DRK5UU4KB7UXKAYLSSDDNTA====,ORG1,CASH-MPA,USD,46197,20240401,20240701,O2W2O2OT55ATVUXE6IPIRQUBJBPR5MRXBWFCTLQ5PJLCQXDT2JKQ====
FGCNE2WGMDSUPPT5AIZIM33R4LE5HAQEKD5DUSGA3WB7XB4M76PA====,ORG1,CASH-MPA,USD,99548,20240401,20240701,
GC7BSXWTY5OSAPCPBNR3PPL4QN5SO5MDVJH6XCZMUEKXREKGSQSA====,ORG1,CASH-MPA,USD,26008,20240401,20240701,ZQPSJHDP7QEKAH6GYWFCRNDNJ5PYKXQHKYVPWKZPVWYTP3GKEHMQ====
X73LPFUACAIJCWXUAGJQT6URF7TNGTT7NJ2BKQ5REWCSKL6R24CQ====,ORG1,CASH-MPA,USD,93479,20240401,20240701,BAIVOHNWX7F3RPJ43F7RKFPOVIDRYCWB2EWQZFLTPIA33UZ7A2AQ====
KTNVK6YHACQ2KEZNHMPS2XOZKFSM5H5KOIS474ONDHXKKXTHLILQ====,ORG1,CASH-MPA,USD,73622,20240401,20240701,WE7XIVF4TCQQKUEIEI6FQ5PQL3WKQJILM4X6QME54FNJTIRACZXA====
VDCI5IPALV7EO447STGOY6O4EFELXAFWQCS4JA2AQTUEPHXU6CRQ====,ORG1,CASH-MPA,USD,78784,20240401,20240701,JARDSHR7JRZKCZ7WAXETBAPWK3WJAXQPMH3GIDJRTQ4WEMV5IX5A====
VNBUL5SEYQIGSLB6VZTDNTTQC4STG4WW5B47C6FUK7AS2OD43CDA====,ORG1,CASH-MPA,USD,21257,20240401,20240701,ZI3JSLE66XU5SZZDGC4BTKJITIXZ4TB6GSRM34CHEYI2DBLARXSQ====
FCNSQ7JT6MEZSACIU75R36C2HIS34FSN3UNGWI2S7HKQL2PQ4ZWQ====,ORG1,CASH-MPA,USD,99363,20240401,20240701,MJMGVBGDTDI3Z6LJ7TCNBG3RNFW4ETAIUYZE3H6FLPFKIZ2YZZQA====
HA6UHGEQJSCNZ36ASVYBTGRWTRYJ4JBMYUDOTKFFVM5DDOZ5G43A====,ORG1,CASH-MPA,USD,4534,20240401,20240701,HTE3OAU4KMHEWGWL4FAUBRJQG5HW47W6HXZNSUPHPRF5W3GHFQFA====
ISLK5ZFUNJCX4VARE4MPLZETRA3NMFSIHKCPF3MQJOM4TJ355LLA====,ORG1,CASH-MPA,USD,39609,20240401,20240701,ZJIDJVU72ZFG6BTGANM3UZNAI4KFIOEDNOX35NORD7FK2HTGEJUQ====
JQN3FSGG7FDXQSLZL5S3YLGLDRQ4RVTAFNHTEUA7VNQKKX6B4PGA====,ORG1,CASH-MPA,USD,58541,20240401,20240701,
I7BJMN5AM6UVD5ROK6VIPHDGXQPZBTOFJJSAWDRHC42EAA2LGW5A====,ORG1,CASH-MPA,USD,31893,20240401,20240701,
D5IR3EQ6HUM4ZDXL3WW5KUIN7Q4Y53ODLIPUDXLTKH6S76BYM5AQ====,ORG1,CASH-MPA,USD,85824,20240401,20240701,4CGAP46EQCEIBNO6LAHDB2IQBINNZRQEVMGQLRBI4DHIXOPCBKTA====
UIPVV22VTN4DBPS6CA4K4PCRFS5ZPALEJ3755RJS6V2ZX6W77W5Q====,ORG1,CASH-MPA,USD,1523,20240401,20240701,EK25THPZBPMNXWSFB5WUGNOCPS66A462FOBHLX6GT3D3JERR27UA====
G3FWODHXK5SD26LCC6QXPS3TFBUNVJG7TDLQ7IOVA74POJZVVNEQ====,ORG1,CASH-MPA,USD,64722,20240401,20240701,
375X4M2FO4S2PX6LW5VDPJOC7DHGB5SLGHBP7LRZXQDOWVDR6FPA====,ORG1,CASH-MPA,USD,85665,20240401,20240701,MC56SJ2VPOT2X6GFGHE6T7JPJDL2VOJNY2WG7C6RAM4K6LC6WQHA====
OMQJTN52KOCSUNCAXFPYX4B67C36SXNK3GZVSYGJEXZ277FIW3WA====,ORG1,CASH-MPA,USD,57155,20240401,20240701,H75KXIIN5ME7DKLEH2NFY62YYUHVRLBSMBCCIUSTE7VNPFEBEE5A====
H3WGBVDX5BC62NLR7CNYDQ2SOZEWE3RGXD2JLX4NVOWOZIXXN24A====,ORG1,CASH-MPA,USD,95156,20240401,20240701,ZEKZZ4DJ36NRMVXAGJ2JHBKDIERRIIV5E7CZNB7F2ZJPTHOFTYKA====
OQEWVG75I3NV3VYMP5C3TOE7CQBHR5XUPWFXLBOFCCFVCDVNZ5EQ====,ORG1,CASH-MPA,USD,81185,20240401,20240701,RKA634MJ4TK4IFVJ5MTSTAIKZ2L4UEGXBOMXPIEROYDN674LCNLA====
P33JIMO5NLR4BI7TSMNHBPWTYNN7GF4ZOWDWI6B2QY7DTIF5JZOA====,ORG1,CASH-MPA,USD,38185,20240401,20240701,KLNUGBCSX6JKYRXMOMVG2MOXCR5ANQSHYN2KYKGU2JRG4MRZXGXQ====
QW4CL4MLLHEGXADBEUJOY7YJOZWVHQQFITZXFON3N46SXYEON2CQ====,ORG1,CASH-MPA,USD,79186,20240401,20240701,35XLXQM2LJ52CHCCZMFXOSUJSGWJJXMJFFMTYRG3B3LSUUIHWIYA====
IYLSSAGQ2ZX64BMUCAT6EZR3LGKIZPFSREY4T6DF7X3L6Z4YP64Q====,ORG1,CASH-MPA,USD,3154,20240401,20240701,RRNDUA4VNC2E3XXV3WCH6SAZMUM7JENG5TQ2QXNOUTTT6YEE4LCA====
CB6VSUCRZF5KHG5VE52MQTTPK3JQK4VAFE6JVFEDYPKWLUSVOH7Q====,ORG1,CASH-MPA,USD,89885,20240401,20240701,S6EY46KFEPPJWMLSLN4DCZ4UJWF7IDKQW2SYCMCFDPDJ3CYWITDQ====
INQFDE66TWELQXGFUQBRVM4XIVBBNCDDXXZNUA4HNZYWTTGEEN2Q====,ORG1,CASH-MPA,USD,77016,20240401,20240701,WKFYYW7GPIAPRVPKUEHWBU76GL3LAUUCAMBCS7SVYTLJTI5ZY34Q====
LLWUZ7N6JO62RRS3HRXCBCLEIRMU2J3W5O4SCZBDZXODRACYFCPQ====,ORG1,CASH-MPA,USD,72266,20240401,20240701,W7LDW2D5VX35OYB5TMKTNY5AABGNERJOKE65LZ3H53PLOBBO2SSA====
Z5UFOPBGFGH37XW67FOLAJZ5OVRGITXN3MR75VUKPL5IJ7V735GQ====,ORG1,CASH-MPA,USD,55521,20240401,20240701,RSP6DKIVO4SRXJAPP2S2V6X63ZFAD23YUYQ4RZIRGPMCYLTH7SYA====
K3MFIEBCIO7YM4WGTFA7CUHSXBPAQWINF5A4I6FBTN7ZBOSML3SQ====,ORG1,CASH-MPA,USD,54641,20240401,20240701,J7I7RXDNZIOY2I72SUR7EFPG6GEA2KQJ5WGZSM6UGKMVVFHCWCZQ====
6WZAKSMBSSMHA2RY6ALOQSXT42KEKOIOCVKPP3C7YZ7ZOUCAPXKA====,ORG1,CASH-MPA,USD,2380,20240401,20240701,OHSAKHYOTURVP7242KTJDFUW22AYHPMYD3X4Q5LL74CSES4LMSLQ====
MAXW2W7NQC2UYHLZUG76ZKGWG4PDU32SET5UBTQWFV7HFOLPUGVA====,ORG1,CASH-MPA,USD,42724,20240401,20240701,
IZ65UEN6O276OCWGGIA7AWWYNM7NSAM7ECZNSG4X5HG7MOJKOZLA====,ORG1,CASH-MPA,USD,1686,20240401,20240701,IGUWHPOAEYRF634HOMXSRT5IUREJ6MFM3ZCSH6D7N2F6Q4YCYRKQ====
HXY7QZJDM4U2RHDBV7WYMX27E4DHFAXFTBVTKBYGEZA3LB56C7JQ====,ORG1,CASH-MPA,USD,9841,20240401,20240701,AOJM3JG46XO55AXDEE5TU6BQ5XF3JT465RVHZZPJZRQMREJYKIGA====
T3AZIBE27HTGTO2TLPPTLUIR6KFA56FCVK2JV5WCO4Q64O7QD3CA====,ORG1,CASH-MPA,USD,72389,20240401,20240701,EDAKSCH2RCXTOYVPNZF53QCBLWYL5544WFZ7XQ3JAR3XBMQMTSYQ====
QQY6ODUY5W2XESB3GC2V7AI4X6MCV6ML2DWHSOJUHBYMZID3MHTA====,ORG1,CASH-MPA,USD,34960,20240401,20240701,OY25UPEG3THD6LYHH7TYLDVZ2OLWFDBP37JLKZ6RDYCXBDILZXIA====
EIKRYTKHSWYW3YXFU6GW5VKXH7LICXMZCED64V5MSDRVGRS4ACIA====,ORG1,CASH-MPA,USD,36419,20240401,20240701,M54J2VJHTVHBTE47F7O4NLOVRYB22ZNXZBFUFJX4LDWQ6X4RAOCA====
MVDK5DGIG2VL27NPESGHRJNR26BQQ7K2GIN4SAPD4NKLCAZNDH4A====,ORG1,CASH-MPA,USD,96897,20240401,20240701,3BB3GYCDEEXT3KF2MGJCGAGQ42GLCR5FQATHF2WSVIY4E63WR3HQ====
SPRJNWKVGEGWA4UPEBDGTCLXJFMZ5PNG2FHV5FCWWUEM5BUMJK2Q====,ORG1,CASH-MPA,USD,53430,20240401,20240701,
NG4WSOTJN4JAVKJIEX6ZFNGKQ5ZMQLMH43LFYTTFM3C2B6727UPA====,ORG1,CASH-MPA,USD,25014,20240401,20240701,NYSLYS4WFNOBXDKGVWDOW5DF27FCQQRTGTD3MRE4B65AGBRO7AMA====
BOIDCFZG4IAPLXQV3LXK5JVBRZR7ZPSDRRBARKRMATQLIGTTT7LQ====,ORG1,CASH-MPA,USD,3117,20240401,20240701,65USJTQTDZKWRAEUIJ22SJTPQS75QGA7WAUUP6W3DT7UAKG2H4IQ====
AX7FSKYSSSBY7RTLKZFXLHOPU2KH7PM7HNHQA7YNBRXZ5H3VYUPA====,ORG1,CASH-MPA,USD,31316,20240401,20240701,
33WCLLV23MXGD2W4CH5VENC4GNYV54Y32ZNIZ2HCJKPEEQWKC5OA====,ORG1,CASH-MPA,USD,85890,20240401,20240701,EMJSWUZAG6HBMG5TBQX56WBXJV54CX72QZ2Z6Q7E5Z4B5SQ6I4UA====
4TH743UMQ6Y4223PEFI7DER3JMTYF5LOND2CL4C54I5ULPA6HTRQ====,ORG1,CASH-MPA,USD,51445,20240401,20240701,V5MGOUUWDKRWHD2ZMKSHHCSN6OGG324AFWGHDP4UG7KRWO2AXQ3Q====
WSVLNYSPPZVKY2IPFG5RBX2ZTTK2U4KVVGUNS4Z4INBCZRQVNFEQ====,ORG1,CASH-MPA,USD,33237,20240401,20240701,
VQE3VN77JZKLEUT3ICGVUNXWYTQCJRK7NKFGLJ444GV6XNALDIYQ====,ORG1,CASH-MPA,USD,27480,20240401,20240701,PSNT2V4ATCT6RX4ZBWUR5RFDMNQWNMJ53MLPY2AWZ6PBV6AB6VIQ====
JQQEYA5QGCML2G2BPM37GFMHUVKGH3R7RH26BB6G2FN27YN7ZKNA====,ORG1,CASH-MPA,USD,94615,20240401,20240701,K32CXHWN7T35WSJ3HQ2DIDNSPM25R2EEZ3AHXKX7Y33FQBDBBAXA====
L53CLJPOZHLERU4IEKL7ZZYY5A2HFKLBM6IJ24WNWLIDVZAYR3LQ====,ORG1,CASH-MPA,USD,66463,20240401,20240701,L36TPYENNP7JEH5NIUC6TYSRND4T7H6P3Z32ONJI5L7XL4EMOA7A====
7FTAGOXDFC2FFJGVB5HC6WTKJA3PYCHVGXDD2OZOHXYBOXISUEMA====,ORG1,CASH-MPA,USD,59577,20240401,20240701,GQTUS5PCV4FVRHZSJR7DAMNQUCFV3BZOYSENG5GOHKOLV7USNIUA====
RGYZI5UNGMORAZDAIIVVQ67WZVTUWSGSIV2N3KMQQKXTP5BRD7WA====,ORG1,CASH-MPA,USD,26068,20240401,20240701,
AFMTR4SS4ZFRVW6VC3PYNTZRD677P4IOHAI7HZL5RX4SW4QKGMHA====,ORG1,CASH-MPA,USD,24989,20240401,20240701,YEIGRT3HWPVBJ4WV67YWBIUHVDJ7FQ5KIRWOVYTK6PQJYFCVWSRA====
RREYY6HQTXOKQ5LGYR4KVJMWZ6JM5LGQED44LO67CXDSI6BL3O6A====,ORG1,CASH-MPA,USD,59205,20240401,20240701,GOIOXEWZAMC4PXQOIIOQNX37OO5JMUVNH2CS3BV2IECBTBXWYJ5Q====
MQK7E2PS3A66IKGOODY5GCQESWWOO7SDKQJY2JHVTHWBSLTY6LIQ====,ORG1,CASH-MPA,USD,87075,20240401,20240701,RH55CF6IF5W4WKG6AWG4Q454G7QPF7IEFFH5LEXD6DX7T2ZFONRA====
