Individual Reference,USCADI,Document Hash
602674329914,7US6SPH6Y2C2DKEZNQPCLWQ3VQU5RTR4QKCEYR7WZ4HURFFSSJOA====,SKQIRGJ4Q7YOXGV25ZSGZVQM7XPVR4CRZRZS5FKFC5KUYCJVTEDQ====
509477674336,E4KPBV7V2KWJ77R5LQFG2B3QRFBGLMZNLR2UEFAPC4AJONO5DJNA====,QVPMA4USHLJLDW7GFF5YWGWKSG6ROWPAM3T4N4W6CZ4EOSGK2FCQ====
231839411891,NEE6YNWAWDI2OJDZ55DA2G3EMJFT75MHSFEZG5VQTZ5GPSAWWBRQ====,F3ZUVN36IQHQBBVWIK7ZOIUGVJLW7ZNSPEUOFQB2UYEON4SC7GTA====
533241589043,QTARGVU7JZEPNXEUQFIDIUZBWA5GSWHRP6DOHUTPJU7IQSRG5NWA====,3HO3SYUGPCOTFWHCM555PRJV752KHRN4QJS3D3XQGR37WPS5PSGA====
729833109272,MT4EFTWMIYUWBSO64L4YVJIJFXGX5UIKHJ3HDHDZAECD7B5SVJWQ====,FF4NHMEJDIJMZYSNGCLJUQHNOXAYN43MJ2ZLSHWVUGYOEXFRQH2A====
766874700771,U4HDGFKTOIHGHM62B2T6EYBXII44ZFCSVQJJXIWQR2BJC63JGN4Q====,G3Z6M7DXIQGUUJXI47XEBWRP2ANUPZOOD52QEIAOWDCJOQPSMI6A====
657294103302,7E4QKEHFLXUGESG3XW6ATO7AVLTJQ4CN6IR5QI5PI6WJITNWTXPQ====,IH2YFVHT7NVH2WCF44BY442U4RTXR2GNKJXOXV4QQ2QHXA7S65NQ====
109935558816,E7DNOBOQUPOB2O6FBOIIBNZDL7XL2KRJEIRVQH2L7AVY3HX5GFEQ====,
639085669975,TCXLMRZ5MN5JPDNK3XJWQB75AEJMYOMI3JTHMVKSG3UAMEI5254A====,ZNXGRA722F2NAEG2DP3S43NDOWOVOA3BVD3XFHEWFOIBMTYXH2DA====
930135592288,6S45MBLV3WACULIR3FTOHGMB2W2VOOCZKUQAAKQKCAZ2IJUWK5CA====,6JR3XYRFUFXUV6GNKGFLTH2M3C3FJSC4H7K2YUH6BXWMAN5ZEIJQ====
132808757518,GJXTQY3JIIFYDU57IAITHZTC4RJ5DGQWDN24MEFEHW4CIXUUPZGA====,BWQMOWUBL6S3PSNHBA5PCJP5L3ZF4O7TZPSGQLWUOQI2B4BNPAYQ====
342856628021,VJHIPEOXWGNYPVSKNCRGNI3MUJASWNIMQK57HQ2RLRUT24AQYOFQ====,JFLII6AOE5ACO3ZZZ3U5MMWQF6K7UPYVTWUK6U6RK4LGNU4C74BQ====
939146016463,NUICKQZQUJQ64DAISPVQXAIBMAR4R2M2L5NFMPO2AJO62GXM7FUQ====,
919895443480,6SQRHCTAHZUNOIR3QGR5VTLC54XO3I4QRN37YPUKHGBXS2OGUBZQ====,HDIXMF57A34FA4UO2I6CHBW3KQ6HLRHGDLDF6BNLWGK5AP6PQCDQ====
504002552134,K5UPKM4OKHH2VYILRQPHEC3N2EYBH5N4SND3Y22HRCBYL5J2D66Q====,QJ5NQPWYBP746OZXY7HYBYQR4WTHSN3ND6J2JINBOOH53W2WL2JA====
861280924691,JN4CTN6FYP3E7OJYHJVBKZY2CLSXF2BPDYA5NZLLO7RIQ7UZIMPQ====,3QQDWCA6DPEJPM3HMXQERM6TDWFZ3KHXSEEIM2SCFJXGJCXC7IUA====
477628108231,4TPGNEYWU34WOJTSV23VK2AGL4ZPMZUYLFSMSTN4FXVNMOBOHSZQ====,
333690500499,LRL6NAWQCCIKNOTXQAW5OWT6TVV5ZBUQX533CYZ2W5QYENPABAUQ====,
693081689625,HGZLXYMRTEZNNEFVLHEIKMXJYJ55RSVZMJ46V3G4FNSSPHYWEFWA====,4KRRQZ3LTWVMXNAGIJOTIAKRAX2RFX37ZGPBVLQX4Z7D4CVERFGA====
533546375392,G6ETKRGAQL3JCPKNBDMWIJZOJIK3JAES6C4NI534IQBDA3MGWFLQ====,
181429634202,7Z4UES47UCRBTEDQB57KMDTD5ZN3QD7J3FVVAEJ6HXPSZP72KUEQ====,VQRMUIGFCVCQSAHYVALL3KQYBQR6J7VFV4GPYBQKMJLPHBSH6MAQ====
260466966859,3OZNSZEF6BD3R6W3F7UT7MLYGZVHYN3DIQVHSUA7QJDJSVJKLTAQ====,Q5RD2JRZWPUURC3DYZMERDC5SHSLNQRT7UE42DCOY2FWI2AUV5UA====
539932091636,3JPZG2QS2AJMPKXHJ5WFC7EK44OU6ISMJ2WDZSVJEG4CVLLWF3SA====,7CKG3PF44S7B77EWQMCIXKBFNXU2GTP7JQ3Q2HLYDSBW7HWWNUGQ====
942823926827,37KDYXNO7IB2PO5I3IB5VLXKG3R3UKLJTURZGW4WR6BIRD6DPDYQ====,TJ75NDRVJGVVBXRQMCEXSZ2OFCNF2H3CIIC6QLD7SRSTW3ACQOLQ====
132288159645,VDTWB6ZFNHEZ7RKJNSK2WHTX55ROINB5Y4Z4JQ75SCUR5HDPYMTQ====,S3Q2KSEHTELE4FCODA3J7W3WMIQYNSECCFAEDOLUUGA3FEW4OCTQ====
299827391658,SBUCMQILAM4E2RE4D4SPCWC5HOCOIOEDKXZ2XO32IPEF73ULV75Q====,RVKUFCNDXAADTAF5YJKKWCRUVMBTAJMVBA44VYHN5UUD3HEKZXYA====
310215499021,I2RFXRV7XYGMCTPVBZ7TSWC2GSUA76PK57IBVENHKLH3ARHS2DZA====,B55PQQV5A2VWX2JNLVQ5TTZWK4EMBU2FEFZW2TWLNZEOAJ65N4EQ====
604722713264,6YSJOHMLPKYS4RWE4YEK67MKAEHDYETJG6VXH6OUW7JTXH5APJAQ====,YPY6COG4GW23O7HMHQTNTCJ7JUMFTCQ7IOPXX2JPLRDPCBCNPXCQ====
922904268367,WNL7EF7N4HQINKX2ZY6P2MSBECFH2KQLR3RZ4W743JMZOWGCANFA====,
192217140912,UWO3FC7HTKWCLT5U667H7SZ5BURN76VRW4WCMYKUAHVXPDENW3RA====,UEPFTLGUMFPYIEPYWFMLFJHI4ZXWDGTKNPUCSKLBKFIL3ND6CIOQ====
866687498147,T7A4XQIOVDSLITDYJP3Q6KK5NJGBZAQDCRES44DLYKT3QMBVCQ5A====,YVGRR34EJBDNPKOAH4UKWCSPMICRVAHEXWTMRRKIXCBCAXXMV5KQ====
544849124630,TGWQ2WTJX5WX6G7OIIWOS3MDE4VMT4ZA76O2QUASGU3MEVALCDLQ====,VU7QSSXCUHI7RCB34WTMREEAWDOLATOST2PRWRRISQB3W2PCW3ZA====
930706058769,XFVUDMGJPJUNIFZQTUQJWCBN7A3QS3KIK4TCG463A3B6JGRC7Y6A====,2BIBE3XKFF6AFTM2EL2Y6XP4BIKZLFU4WECINQSYILI5IVJ6LA2Q====
661078960450,BQKCXUOWGDLR7AGLNAB3YPAY7EJYQYVCUMGV67QGIDT7FKZSEAPA====,AAOX42N2HB6BSBAPB5YG3M2CYL72UXZJOTHASVKADLI7SAHZIIAQ====
908653621068,RYQS4CYVJYU3MHZCG7ZYFLH7F7FSMRRW4ZOT22R2FARTUQFPZTWA====,CGUW3VDLQAPWJCJAHVWPC5QFBH2IPTOBW55T5HUD5EXHAY334VVA====
710997166830,XS5OLA3OAYHKN5PYSQ7FWGRP3Q33SJMZDY4UGJV6RWIN6PFWYA5Q====,
212733394868,P34XA4SFIR2CMKSEK25ESPN7EP6SZ3BPMKSWFTKCQILNWJE4OZQA====,HXWIBZOZYNR45EIQPAG3AZF7OT7DIRNILLZLJMRRI22HAZCAR7VQ====
624410016719,T3TP45WM3IGUPGZLOG2WV2RFTUA5MHRGDSALVW3DV3JCKOS265OA====,YLZOXST3JRI7NT6CXZOYFKSEMT7V3B2PQYCSLDZL4WEKYE6THM4Q====
233438278914,5MP2R4XPDRMKK6YQM4DEQBFTC7G7NXVHZZ56LHHUEXJWPTSKMSAA====,HYDREWOFBMHRUKYN6J7SNF7RELOAJVZDZBPRNMM4LJFEQAZIBVWA====
876998501872,VCCUQ7BZPD72OHODM67ZJABP425KBCMQ7YSASGTDOW4WLHEOUFMQ====,DZLCCUXKXFEJIKJYYJLUDIU5MZ2WJDWG26X6VCXVANNTIC7DQ7BA====
692527243378,OGIQOBSZGKYFSRTCZIL5DAL4ICMUJTICOIDWQJAE2PRPMVJRDEPQ====,
513707293665,IM6ZEXQROTPUDWQADRIQ5V4XGR4FMSYD2VHLAICCHRL4TDUBDRDQ====,6JFECXL2FIWQHK76EJVJYCN6ACQGSXWYZILP2XGVILXYZ2NBAJYA====
634602752388,RNMZHSHGVCAMDHTLU7GBI2A25PFEGOVJ3YRVY7YCQC76GYOOVRJA====,UYVMD5QTD4XXYF3IJOR4OXIIHCVPL5BGYVDEJ3ZFYGLYOK7E4FKQ====
906881504999,KRO5GD5WUOSYO326L4GKKN7EOCBTRV4WL2TRKL5AOVO5OKOZQV7A====,42FIWBNMVHKXTP3W6Y474C3JXE45ZA4YT3JDFNAYYF44ZYCMCMXQ====
893319679270,JWZYD6Z7VX2WI3SXX6CBH7OC6F3NSIWXK5KKMLC3JD2JX7J5H22A====,62C7S7TGPWEPGJZLA2DMISIGZP5QHNV5WA6O3OTHEWHCCLR33G3Q====
963952069659,ACPRP26PFFVTK2I6CRJ2FPKO7QZDTEYCO7SFQAOTVJW67MYF5HHA====,3PJZ6MSKRY5Q6AQF7QSF2X5T3PFKXUGMF5F3OX2TJ32LIDNG4TPQ====
436478818129,3S5E56NVVPNK5R2NENBOWUAZIIUO2DRK5UU4KB7UXKAYLSSDDNTA====,O2W2O2OT55ATVUXE6IPIRQUBJBPR5MRXBWFCTLQ5PJLCQXDT2JKQ====
815552774495,FGCNE2WGMDSUPPT5AIZIM33R4LE5HAQEKD5DUSGA3WB7XB4M76PA====,
153735836874,GC7BSXWTY5OSAPCPBNR3PPL4QN5SO5MDVJH6XCZMUEKXREKGSQSA====,ZQPSJHDP7QEKAH6GYWFCRNDNJ5PYKXQHKYVPWKZPVWYTP3GKEHMQ====
157065372916,X73LPFUACAIJCWXUAGJQT6URF7TNGTT7NJ2BKQ5REWCSKL6R24CQ====,BAIVOHNWX7F3RPJ43F7RKFPOVIDRYCWB2EWQZFLTPIA33UZ7A2AQ====
648269155488,KTNVK6YHACQ2KEZNHMPS2XOZKFSM5H5KOIS474ONDHXKKXTHLILQ====,WE7XIVF4TCQQKUEIEI6FQ5PQL3WKQJILM4X6QME54FNJTIRACZXA====
208939423734,VDCI5IPALV7EO447STGOY6O4EFELXAFWQCS4JA2AQTUEPHXU6CRQ====,JARDSHR7JRZKCZ7WAXETBAPWK3WJAXQPMH3GIDJRTQ4WEMV5IX5A====
531823171984,VNBUL5SEYQIGSLB6VZTDNTTQC4STG4WW5B47C6FUK7AS2OD43CDA====,ZI3JSLE66XU5SZZDGC4BTKJITIXZ4TB6GSRM34CHEYI2DBLARXSQ====
378776208239,FCNSQ7JT6MEZSACIU75R36C2HIS34FSN3UNGWI2S7HKQL2PQ4ZWQ====,MJMGVBGDTDI3Z6LJ7TCNBG3RNFW4ETAIUYZE3H6FLPFKIZ2YZZQA====
505717098848,HA6UHGEQJSCNZ36ASVYBTGRWTRYJ4JBMYUDOTKFFVM5DDOZ5G43A====,HTE3OAU4KMHEWGWL4FAUBRJQG5HW47W6HXZNSUPHPRF5W3GHFQFA====
743334375727,ISLK5ZFUNJCX4VARE4MPLZETRA3NMFSIHKCPF3MQJOM4TJ355LLA====,ZJIDJVU72ZFG6BTGANM3UZNAI4KFIOEDNOX35NORD7FK2HTGEJUQ====
347184770978,JQN3FSGG7FDXQSLZL5S3YLGLDRQ4RVTAFNHTEUA7VNQKKX6B4PGA====,
139331937784,I7BJMN5AM6UVD5ROK6VIPHDGXQPZBTOFJJSAWDRHC42EAA2LGW5A====,
687226558302,D5IR3EQ6HUM4ZDXL3WW5KUIN7Q4Y53ODLIPUDXLTKH6S76BYM5AQ====,4CGAP46EQCEIBNO6LAHDB2IQBINNZRQEVMGQLRBI4DHIXOPCBKTA====
178440085283,UIPVV22VTN4DBPS6CA4K4PCRFS5ZPALEJ3755RJS6V2ZX6W77W5Q====,EK25THPZBPMNXWSFB5WUGNOCPS66A462FOBHLX6GT3D3JERR27UA====
821176536785,G3FWODHXK5SD26LCC6QXPS3TFBUNVJG7TDLQ7IOVA74POJZVVNEQ====,
116535906352,375X4M2FO4S2PX6LW5VDPJOC7DHGB5SLGHBP7LRZXQDOWVDR6FPA====,MC56SJ2VPOT2X6GFGHE6T7JPJDL2VOJNY2WG7C6RAM4K6LC6WQHA====
593130828304,OMQJTN52KOCSUNCAXFPYX4B67C36SXNK3GZVSYGJEXZ277FIW3WA====,H75KXIIN5ME7DKLEH2NFY62YYUHVRLBSMBCCIUSTE7VNPFEBEE5A====
970280543140,H3WGBVDX5BC62NLR7CNYDQ2SOZEWE3RGXD2JLX4NVOWOZIXXN24A====,ZEKZZ4DJ36NRMVXAGJ2JHBKDIERRIIV5E7CZNB7F2ZJPTHOFTYKA====
712774989877,OQEWVG75I3NV3VYMP5C3TOE7CQBHR5XUPWFXLBOFCCFVCDVNZ5EQ====,RKA634MJ4TK4IFVJ5MTSTAIKZ2L4UEGXBOMXPIEROYDN674LCNLA====
740549836312,P33JIMO5NLR4BI7TSMNHBPWTYNN7GF4ZOWDWI6B2QY7DTIF5JZOA====,KLNUGBCSX6JKYRXMOMVG2MOXCR5ANQSHYN2KYKGU2JRG4MRZXGXQ====
662651113213,QW4CL4MLLHEGXADBEUJOY7YJOZWVHQQFITZXFON3N46SXYEON2CQ====,35XLXQM2LJ52CHCCZMFXOSUJSGWJJXMJFFMTYRG3B3LSUUIHWIYA====
627870588548,IYLSSAGQ2ZX64BMUCAT6EZR3LGKIZPFSREY4T6DF7X3L6Z4YP64Q====,RRNDUA4VNC2E3XXV3WCH6SAZMUM7JENG5TQ2QXNOUTTT6YEE4LCA====
841900736202,CB6VSUCRZF5KHG5VE52MQTTPK3JQK4VAFE6JVFEDYPKWLUSVOH7Q====,S6EY46KFEPPJWMLSLN4DCZ4UJWF7IDKQW2SYCMCFDPDJ3CYWITDQ====
908569807656,INQFDE66TWELQXGFUQBRVM4XIVBBNCDDXXZNUA4HNZYWTTGEEN2Q====,WKFYYW7GPIAPRVPKUEHWBU76GL3LAUUCAMBCS7SVYTLJTI5ZY34Q====
930974411361,LLWUZ7N6JO62RRS3HRXCBCLEIRMU2J3W5O4SCZBDZXODRACYFCPQ====,W7LDW2D5VX35OYB5TMKTNY5AABGNERJOKE65LZ3H53PLOBBO2SSA====
324396155099,Z5UFOPBGFGH37XW67FOLAJZ5OVRGITXN3MR75VUKPL5IJ7V735GQ====,RSP6DKIVO4SRXJAPP2S2V6X63ZFAD23YUYQ4RZIRGPMCYLTH7SYA====
883963390658,K3MFIEBCIO7YM4WGTFA7CUHSXBPAQWINF5A4I6FBTN7ZBOSML3SQ====,J7I7RXDNZIOY2I72SUR7EFPG6GEA2KQJ5WGZSM6UGKMVVFHCWCZQ====
594689971297,6WZAKSMBSSMHA2RY6ALOQSXT42KEKOIOCVKPP3C7YZ7ZOUCAPXKA====,OHSAKHYOTURVP7242KTJDFUW22AYHPMYD3X4Q5LL74CSES4LMSLQ====
874078442738,MAXW2W7NQC2UYHLZUG76ZKGWG4PDU32SET5UBTQWFV7HFOLPUGVA====,
163079938023,IZ65UEN6O276OCWGGIA7AWWYNM7NSAM7ECZNSG4X5HG7MOJKOZLA====,IGUWHPOAEYRF634HOMXSRT5IUREJ6MFM3ZCSH6D7N2F6Q4YCYRKQ====
411361737509,HXY7QZJDM4U2RHDBV7WYMX27E4DHFAXFTBVTKBYGEZA3LB56C7JQ====,AOJM3JG46XO55AXDEE5TU6BQ5XF3JT465RVHZZPJZRQMREJYKIGA====
728364406930,T3AZIBE27HTGTO2TLPPTLUIR6KFA56FCVK2JV5WCO4Q64O7QD3CA====,EDAKSCH2RCXTOYVPNZF53QCBLWYL5544WFZ7XQ3JAR3XBMQMTSYQ====
248478415706,QQY6ODUY5W2XESB3GC2V7AI4X6MCV6ML2DWHSOJUHBYMZID3MHTA====,OY25UPEG3THD6LYHH7TYLDVZ2OLWFDBP37JLKZ6RDYCXBDILZXIA====
485852241555,EIKRYTKHSWYW3YXFU6GW5VKXH7LICXMZCED64V5MSDRVGRS4ACIA====,M54J2VJHTVHBTE47F7O4NLOVRYB22ZNXZBFUFJX4LDWQ6X4RAOCA====
201053211582,MVDK5DGIG2VL27NPESGHRJNR26BQQ7K2GIN4SAPD4NKLCAZNDH4A====,3BB3GYCDEEXT3KF2MGJCGAGQ42GLCR5FQATHF2WSVIY4E63WR3HQ====
345281716431,SPRJNWKVGEGWA4UPEBDGTCLXJFMZ5PNG2FHV5FCWWUEM5BUMJK2Q====,
454925615167,NG4WSOTJN4JAVKJIEX6ZFNGKQ5ZMQLMH43LFYTTFM3C2B6727UPA====,NYSLYS4WFNOBXDKGVWDOW5DF27FCQQRTGTD3MRE4B65AGBRO7AMA====
853942753840,BOIDCFZG4IAPLXQV3LXK5JVBRZR7ZPSDRRBARKRMATQLIGTTT7LQ====,65USJTQTDZKWRAEUIJ22SJTPQS75QGA7WAUUP6W3DT7UAKG2H4IQ====
871961913341,AX7FSKYSSSBY7RTLKZFXLHOPU2KH7PM7HNHQA7YNBRXZ5H3VYUPA====,
897176185117,33WCLLV23MXGD2W4CH5VENC4GNYV54Y32ZNIZ2HCJKPEEQWKC5OA====,EMJSWUZAG6HBMG5TBQX56WBXJV54CX72QZ2Z6Q7E5Z4B5SQ6I4UA====
290988923011,4TH743UMQ6Y4223PEFI7DER3JMTYF5LOND2CL4C54I5ULPA6HTRQ====,V5MGOUUWDKRWHD2ZMKSHHCSN6OGG324AFWGHDP4UG7KRWO2AXQ3Q====
474828226232,WSVLNYSPPZVKY2IPFG5RBX2ZTTK2U4KVVGUNS4Z4INBCZRQVNFEQ====,
592038856105,VQE3VN77JZKLEUT3ICGVUNXWYTQCJRK7NKFGLJ444GV6XNALDIYQ====,PSNT2V4ATCT6RX4ZBWUR5RFDMNQWNMJ53MLPY2AWZ6PBV6AB6VIQ====
721846636367,JQQEYA5QGCML2G2BPM37GFMHUVKGH3R7RH26BB6G2FN27YN7ZKNA====,K32CXHWN7T35WSJ3HQ2DIDNSPM25R2EEZ3AHXKX7Y33FQBDBBAXA====
337715767917,L53CLJPOZHLERU4IEKL7ZZYY5A2HFKLBM6IJ24WNWLIDVZAYR3LQ====,L36TPYENNP7JEH5NIUC6TYSRND4T7H6P3Z32ONJI5L7XL4EMOA7A====
465838721714,7FTAGOXDFC2FFJGVB5HC6WTKJA3PYCHVGXDD2OZOHXYBOXISUEMA====,GQTUS5PCV4FVRHZSJR7DAMNQUCFV3BZOYSENG5GOHKOLV7USNIUA====
775644100242,RGYZI5UNGMORAZDAIIVVQ67WZVTUWSGSIV2N3KMQQKXTP5BRD7WA====,
519748803843,AFMTR4SS4ZFRVW6VC3PYNTZRD677P4IOHAI7HZL5RX4SW4QKGMHA====,YEIGRT3HWPVBJ4WV67YWBIUHVDJ7FQ5KIRWOVYTK6PQJYFCVWSRA====
422132669051,RREYY6HQTXOKQ5LGYR4KVJMWZ6JM5LGQED44LO67CXDSI6BL3O6A====,GOIOXEWZAMC4PXQOIIOQNX37OO5JMUVNH2CS3BV2IECBTBXWYJ5Q====
317223549405,MQK7E2PS3A66IKGOODY5GCQESWWOO7SDKQJY2JHVTHWBSLTY6LIQ====,RH55CF6IF5W4WKG6AWG4Q454G7QPF7IEFFH5LEXD6DX7T2ZFONRA====
721592672109,W3PNFW7YKRHQ2ZZHYR2IRAWV2FUMNMLHVRT25L44WP7MILPM3O6Q====,QMU6YJAEP7EB3B7I5DLETJA3MA7BESGO43ABTFZMCBOULNZRZB6Q====
280624825305,YQRG7IPIC5IYIJBJQ53BCNFCQNSTZCZWPB66U72UF7TNC5XJRCLQ====,RSAIDDIIZCZN3JRDM6UUWVLSJYBLRTXYWVAR2TZBLN5D6F23GKSA====
488978006609,4UPYN6N53XY45XDYZNZ3TUZJYFSZ4WNUCPNNQEGABWYOTESZSJMQ====,RQBXP2SCUURCOKPMCP7R3S7ZKP5OXYOCL5F4UTB435HV2EI6AGQQ====
201659049150,SHQEH6G7PIG5B6SN5P7657T5MAVW3NK2VMHZRFFBEHEDKJEJO7BA====,LQF2GNWJZWFEJT4HKSCXR624SAB7CFWNTND3Q3QQGDOMEZY5CNFA====
202891283627,5DIHKA3C5IHB4Z6HKBLGT22EJIVVXUFO5MB4FGBYQUPGIAR7EKBA====,IFHNMIIZUBOZAZU3E5TR4JXYIJW6TRGMQB42DCFOLJ7EJUIVHZPA====
875490827915,24FC2LX2XV6S6AZCMDKV4OR3Q4CFTQZPJY2KQHFOUOIKY6MJBHHQ====,JMDFSLE7GA5OVDCD32H4M4P7JEBTMLN5EAQWZE36MOCR576DNPPA====
989164077342,BSGKHDHSA2LXPGNJSG3Y5VID52W6WFJFVUVVYGH3UGEMN2JE37HA====,
464784399512,OKPLWAKEH66R6DPOPUVMRL64VYOXT3QRONFQ5PTV3IRYXMV2CYWA====,EC7X3D2MZVOZNCEIYY66LSSDLUK72E2ZRIBXBFFDGDGILQE5YANQ====
899728705002,KGQGVA6YH22UOS57LBHEQE773WYQZ3TR4TVLHCT5KYNMNAIFVV4A====,QFLSBJKQIJDTVXQEINPRNMTNCZMBLQTBLQ56VVJAJSPMGOIOPBJA====
956655771579,FPJ6IJKEK36DLSCB6DWFL26IQXBCBMHCOL4AJ264WYBCH7XDBPXQ====,HLWC34LN6FKGVVPHIBUHDPQEF3N3C5Q2W44PYW5DXYAN2SFSEH6A====
428468809359,MVFSRK7WBUENC7ZXKSWD5RCHDBHDJLUHSDVECCQN4UEIE2AFH3VQ====,NFSJGG65VMQHI6LGPGLCUDTOAF2ZOEFEH5425PCIFN3EIZ63PCZA====
156526335362,LSRIUDVJTBZC47JBIIGJMC3O65ZRVF4NOZZMOI74SEBPC2P4J76Q====,
555420626079,Z7XJJXEJZTELWEV33SLNUQJYB22ZSMYRJC243MHWOS7D4XLM7H2Q====,JF5BSWMKEI7ZV6OVT3MDGF2TDMIFRG6K54URJWBTNSRMMUTJQJKQ====
227016267855,CIPHJVDYOLTEVCIYGTFESUTE3OXN43RNS374OWSKHYKBW3N2IPCA====,
348737546960,HX4KARF3X4JYNSMO64L33EO3HCDRESUPKJHT5UBK3IZRB7CDGXFQ====,55SH5TO5E6VYHQQ3G7F5V3PLB5YUAJVTWZVP5TB4JBCZ43HYHJ4A====
949541744350,NLSGQDPDCTBIVLKSNDWMVQRRSUIGA4PEF4HSGH3QTDGCAOFJ5SYA====,JG63I67EI3TCHO5PCVFKXB72NDSO76IKU4NDUIDYY6PAQ2TG7MHQ====
988884965962,WENWJWB67G7KPAZAF3LN6HBWNWJNXFTQ2CI3AD2RDYUPKUJ7LSMA====,AZKUOBHXKVLBMQQORZYWB7FC6ZWM73SBN45E3ZDE727QOJUFHCFA====
903151209324,YRULGCJWS4537NL4OW5C6LLSSOS6LV3ADRXUIVL375FAHRERXSLQ====,MUWXPLIOXNC62VZEWC2CBHKSOKX5R43DOYKVYJONEEM4WKU3G7JA====
199789366451,KJGHGD5N74XX7XUB254XFH4GX7ZMTZUKEXKILU6AXTCO3NKQNJHA====,ISVWL3N2NBMIZ2NGV2CECRR4M4VI7QXNPSIASXC34I45JAQPCTBQ====
162655280276,2G26W6HRYF6CG3VANITSQSKJ3PYH6P4UQUPCYEIDEHZGTUK6MGHQ====,TOSYPKI6MC2FWXGIRZ2OBE2RFITUZKB7XVOMEJC4B2NFNSQWUDXQ====
504940792624,S5VH64WSKXMOOC5NQZMXYF2KQMZ2OKSD62BYTIFI74KRM462RZVA====,HU435UZ4FFSORGZMNA2C724ANJ3C7E6N6LLENK3JNBZNF5VPUU3Q====
211897160322,UPN5AR236J5H5WBP5DMMTTLYU3IBT24NMQUZ4B3SSP23QPV63J7Q====,XWWQFARHMWBOZGECGAYEBGKZAM24ZSZARMROD65F3ZKIM37QYXEQ====
502718254209,7AVGPJLXNWAS3PFO36IVUVP2TKCUWUXWGXDNCQKO27AHEIBAWPDQ====,TYXB4RQNPELM4BG5M4JLFLWRHJBD25X7L6OK2FADJEGUWASM4VDQ====
210182294959,3RY2RKAYBVQCPOKMTOURXCQNDKL2T7IUQMYRHOAGXKA7PPYVFY6A====,VOHUI47OE5CLFUYIF3GNCZQGXJQM4N7BF74W3CEDZ777B5FGM5JQ====
